seed,mode,n_vars,n_clauses,level,unit_count,sampled_units,target_IG,adaptive_triggered,chosen_unit_size,IG,forced,danger,affected,danger_rate,stability,useful_IG,D_pred,conflict
2000043,baseline,2000,8540,5,1672,500,14.75,False,40,53,13,12,497,0.02414486921529175,0.9758551307847082,51.72032193158954,38.66951954872593,False
2000043,adaptive,2000,8540,1,1825,500,0.0,False,4,6,2,2,57,0.03508771929824561,0.9649122807017544,5.7894736842105265,345.45454545454544,False
2000043,adaptive,2000,8540,2,1767,500,6.0,False,15,18,3,3,191,0.015706806282722512,0.9842931937172775,17.717277486910994,112.88416075650119,False
2000043,adaptive,2000,8540,3,1733,500,12.0,False,24,32,8,8,343,0.023323615160349854,0.9766763848396501,31.253644314868804,63.992537313432834,False
2000043,adaptive,2000,8540,4,1699,500,18.666666666666668,True,3,3,0,0,29,0.0,1.0,3.0,666.6666666666666,False
2000043,adaptive,2000,8540,5,1672,500,14.75,True,2,2,0,0,44,0.0,1.0,2.0,1000.0,False
2000044,baseline,2000,8540,1,1842,500,0.0,False,4,6,2,2,72,0.027777777777777776,0.9722222222222222,5.833333333333333,342.8571428571429,False
2000044,baseline,2000,8540,2,1776,500,6.0,False,16,19,3,3,226,0.01327433628318584,0.9867256637168141,18.74778761061947,106.67925418928488,False
2000044,baseline,2000,8540,3,1734,500,12.5,False,24,32,8,7,311,0.022508038585209004,0.977491961414791,31.279742765273312,63.9391447368421,False
2000044,baseline,2000,8540,4,1703,500,19.0,False,32,45,13,13,391,0.03324808184143223,0.9667519181585678,43.50383631713555,45.97295708406819,False
2000044,baseline,2000,8540,5,1670,500,25.5,False,40,63,23,19,517,0.0367504835589942,0.9632495164410058,60.684719535783366,32.957225728310064,False
2000044,adaptive,2000,8540,1,1842,500,0.0,False,4,4,0,0,55,0.0,1.0,4.0,500.0,False
2000044,adaptive,2000,8540,2,1776,500,4.0,False,16,19,3,3,226,0.01327433628318584,0.9867256637168141,18.74778761061947,106.67925418928488,False
2000044,adaptive,2000,8540,3,1734,500,11.5,False,24,25,1,1,306,0.0032679738562091504,0.9967320261437909,24.91830065359477,80.26229508196722,False
2000044,adaptive,2000,8540,4,1703,500,16.0,False,32,44,12,11,407,0.02702702702702703,0.972972972972973,42.810810810810814,46.717171717171716,False
2000044,adaptive,2000,8540,5,1670,500,23.0,False,40,50,10,9,500,0.018,0.982,49.1,40.73319755600814,False
