case,seed,oracle_sat,greedy_L_status,greedy_L_success,greedy_L_steps,greedy_L_decision_steps,greedy_L_forced_steps,greedy_LG_status,greedy_LG_success,greedy_LG_steps,greedy_LG_decision_steps,greedy_LG_forced_steps,lookahead_L_2_status,lookahead_L_2_success,lookahead_L_2_steps,lookahead_L_2_decision_steps,lookahead_L_2_forced_steps,lookahead_LG_2_status,lookahead_LG_2_success,lookahead_LG_2_steps,lookahead_LG_2_decision_steps,lookahead_LG_2_forced_steps,lookahead_L_3_status,lookahead_L_3_success,lookahead_L_3_steps,lookahead_L_3_decision_steps,lookahead_L_3_forced_steps,lookahead_LG_3_status,lookahead_LG_3_success,lookahead_LG_3_steps,lookahead_LG_3_decision_steps,lookahead_LG_3_forced_steps
10,53,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0
11,54,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,5,5,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0
12,55,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
13,56,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
14,57,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,3,3,2,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,2
15,58,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,4,4,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
16,59,True,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,4,4,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,4,4,1
17,60,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,4,4,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
18,61,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0
19,62,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
20,63,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
21,64,True,FAILED_TO_FIND,False,30,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
22,65,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
23,66,True,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,4,4,1,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,3,3,1,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,3,3,1
24,67,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,4,4,1,SAT_FOUND,True,5,5,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
25,68,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0,SAT_FOUND,True,6,6,0
26,69,True,SAT_FOUND,True,5,5,0,SAT_FOUND,True,4,4,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
27,70,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
28,71,True,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1,SAT_FOUND,True,6,6,0,SAT_FOUND,True,5,5,1
29,72,True,FAILED_TO_FIND,False,30,6,0,FAILED_TO_FIND,False,2,2,3,FAILED_TO_FIND,False,30,6,0,SAT_FOUND,True,3,3,3,FAILED_TO_FIND,False,30,6,0,SAT_FOUND,True,3,3,3
