seed,mode,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,useful_IG,D_pred,memory_edges,conflict
2000043,memory,2000,8540,2,1528,16,17,1,1,210,0.004761904761904762,16.919047619047618,118.20996341120181,26,False
2000043,memory,2000,8540,3,1415,24,28,4,3,294,0.01020408163265306,27.714285714285715,72.16494845360825,123,False
2000043,memory,2000,8540,4,1299,32,36,4,4,387,0.0103359173126615,35.627906976744185,56.13577023498694,251,False
2000043,memory,2000,8540,5,1122,40,50,10,6,445,0.01348314606741573,49.325842696629216,40.546697038724375,656,False
2000044,baseline,2000,8540,1,1842,4,4,0,0,47,0.0,4.0,500.0,0,False
2000044,baseline,2000,8540,2,1539,16,18,2,2,223,0.008968609865470852,17.838565022421523,112.11664152840625,0,False
2000044,baseline,2000,8540,3,1423,24,29,5,5,286,0.017482517482517484,28.493006993006993,70.1926616762793,0,False
2000044,baseline,2000,8540,4,1296,32,38,6,5,430,0.011627906976744186,37.55813953488372,53.250773993808046,0,False
2000044,baseline,2000,8540,5,1103,40,47,7,6,463,0.012958963282937365,46.39092872570195,43.11187671679314,0,False
2000044,memory,2000,8540,1,1842,4,6,2,2,65,0.03076923076923077,5.815384615384615,343.91534391534395,8,False
2000044,memory,2000,8540,2,1539,16,19,3,3,225,0.013333333333333334,18.746666666666666,106.68563300142247,56,False
2000044,memory,2000,8540,3,1424,24,29,5,4,318,0.012578616352201259,28.635220125786162,69.8440588622886,177,False
2000044,memory,2000,8540,4,1287,32,40,8,7,403,0.017369727047146403,39.30521091811414,50.88383838383839,434,False
2000044,memory,2000,8540,5,1103,40,46,6,5,471,0.010615711252653927,45.51167728237792,43.94476581451764,675,False
