n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
10000,10000044,1,4,0.022727272727272728,3.909090909090909,2558.139534883721,,,,,500,250,16,44,1,1,3,False,True,weak_growth,2558.139534883721,,,1.9824594000237994
10000,10000044,2,5,0.016129032258064516,4.919354838709678,2032.7868852459014,4,0.0,4.0,2500.0,500,250,16,62,1,1,4,True,True,weak_growth,2032.7868852459014,2500.0,0.8131147540983605,1.9824594000237994
10000,10000044,3,5,0.016129032258064516,4.919354838709678,2032.7868852459014,4,0.0,4.0,2500.0,500,250,16,62,1,1,4,True,True,weak_growth,2032.7868852459014,2500.0,0.8131147540983605,1.9824594000237994
10000,10000044,4,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,62,1,1,4,False,True,weak_growth,2032.7868852459014,,,1.9824594000237994
10000,10000044,5,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,62,1,1,4,False,True,weak_growth,2032.7868852459014,,,1.9824594000237994
50000,50000042,1,4,0.02702702702702703,3.891891891891892,12847.22222222222,8,0.0,8.0,6250.0,500,250,16,37,1,1,3,True,True,weak_growth,12847.22222222222,6250.0,2.0555555555555554,12.515153700020164
50000,50000042,2,4,0.02702702702702703,3.891891891891892,12847.22222222222,16,0.0,16.0,3125.0,500,250,16,37,1,1,3,True,True,weak_growth,12847.22222222222,3125.0,4.111111111111111,12.515153700020164
50000,50000042,3,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,37,1,1,3,False,True,weak_growth,12847.22222222222,,,12.515153700020164
50000,50000042,4,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,37,1,1,3,False,True,weak_growth,12847.22222222222,,,12.515153700020164
50000,50000042,5,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,37,1,1,3,False,True,weak_growth,12847.22222222222,,,12.515153700020164
50000,50000043,1,4,0.05405405405405406,3.7837837837837838,13214.285714285714,,,,,500,250,16,37,2,2,2,False,True,weak_growth,13214.285714285714,,,12.329059400013648
50000,50000043,2,5,0.046511627906976744,4.767441860465117,10487.804878048779,20,0.012987012987012988,19.74025974025974,2532.894736842105,500,250,16,43,2,2,3,True,True,weak_growth,10487.804878048779,2532.894736842105,4.140639847956921,12.329059400013648
50000,50000043,3,5,0.046511627906976744,4.767441860465117,10487.804878048779,28,0.012084592145015106,27.661631419939578,1807.5578855395368,500,250,16,43,2,2,3,True,True,weak_growth,10487.804878048779,1807.5578855395368,5.802195858816594,12.329059400013648
50000,50000043,4,5,0.046511627906976744,4.767441860465117,10487.804878048779,,,,,500,250,16,43,2,2,3,False,True,weak_growth,10487.804878048779,,,12.329059400013648
50000,50000043,5,5,0.046511627906976744,4.767441860465117,10487.804878048779,,,,,500,250,16,43,2,2,3,False,True,weak_growth,10487.804878048779,,,12.329059400013648
50000,50000044,1,4,0.06060606060606061,3.757575757575758,13306.451612903225,9,0.00847457627118644,8.923728813559322,5603.03893637227,500,250,16,33,2,2,2,True,True,weak_growth,13306.451612903225,5603.03893637227,2.3748633132859487,11.516705800022464
50000,50000044,2,4,0.02631578947368421,3.8947368421052633,12837.837837837837,18,0.009433962264150943,17.830188679245282,2804.2328042328045,500,250,16,38,1,1,3,True,True,weak_growth,12837.837837837837,2804.2328042328045,4.578021417644059,11.516705800022464
50000,50000044,3,4,0.02631578947368421,3.8947368421052633,12837.837837837837,,,,,500,250,16,38,1,1,3,False,True,weak_growth,12837.837837837837,,,11.516705800022464
50000,50000044,4,4,0.02631578947368421,3.8947368421052633,12837.837837837837,,,,,500,250,16,38,1,1,3,False,True,weak_growth,12837.837837837837,,,11.516705800022464
50000,50000044,5,4,0.02631578947368421,3.8947368421052633,12837.837837837837,,,,,500,250,16,38,1,1,3,False,True,weak_growth,12837.837837837837,,,11.516705800022464
100000,100000042,1,4,0.0625,3.75,26666.666666666668,10,0.01680672268907563,9.831932773109243,10170.940170940172,500,250,16,32,2,2,2,True,True,weak_growth,26666.666666666668,10170.940170940172,2.6218487394957983,25.665944600012153
