formula_seed,mode,success,steps,assigned_count
112,dpll_control,True,12,30
112,greedy_L,True,17,30
112,greedy_LG,True,4,30
112,lookahead_LG_3,True,7,30
112,lookahead_L_3,True,30,30
113,dpll_control,True,34,30
113,greedy_L,False,30,30
113,greedy_LG,True,3,30
113,lookahead_LG_3,True,7,30
113,lookahead_L_3,False,28,30
114,dpll_control,True,12,30
114,greedy_L,True,26,30
114,greedy_LG,False,26,30
114,lookahead_LG_3,True,7,30
114,lookahead_L_3,True,29,30
115,dpll_control,True,17,30
115,greedy_L,False,29,30
115,greedy_LG,False,24,30
115,lookahead_LG_3,True,10,30
115,lookahead_L_3,False,27,30
116,dpll_control,True,14,30
116,greedy_L,False,29,30
116,greedy_LG,False,29,30
116,lookahead_LG_3,True,6,30
116,lookahead_L_3,False,27,30
117,dpll_control,True,23,30
117,greedy_L,False,28,30
117,greedy_LG,True,5,30
117,lookahead_LG_3,True,11,30
117,lookahead_L_3,False,28,30
118,dpll_control,True,45,30
118,greedy_L,False,30,30
118,greedy_LG,True,4,30
118,lookahead_LG_3,True,6,30
118,lookahead_L_3,False,27,30
119,dpll_control,True,19,30
119,greedy_L,False,30,30
119,greedy_LG,False,25,30
119,lookahead_LG_3,True,8,30
119,lookahead_L_3,False,28,30
120,dpll_control,True,38,30
120,greedy_L,True,20,30
120,greedy_LG,False,24,30
120,lookahead_LG_3,True,6,30
120,lookahead_L_3,True,26,30
121,dpll_control,True,7,30
121,greedy_L,False,29,30
121,greedy_LG,True,5,30
121,lookahead_LG_3,True,3,30
121,lookahead_L_3,False,28,30
122,dpll_control,False,45,0
122,greedy_L,False,0,0
122,greedy_LG,False,0,0
122,lookahead_LG_3,False,0,0
122,lookahead_L_3,False,0,0
122,random,False,0,0
123,dpll_control,True,13,30
123,greedy_L,True,26,30
123,greedy_LG,False,28,30
123,lookahead_LG_3,True,6,30
123,lookahead_L_3,True,26,30
124,dpll_control,True,13,30
124,greedy_L,True,24,30
124,greedy_LG,False,28,30
124,lookahead_LG_3,True,6,30
124,lookahead_L_3,True,30,30
125,dpll_control,True,11,30
125,greedy_L,False,29,30
125,greedy_LG,True,3,30
125,lookahead_LG_3,True,10,30
125,lookahead_L_3,False,28,30
126,dpll_control,True,27,30
126,greedy_L,False,29,30
126,greedy_LG,False,22,30
126,lookahead_LG_3,True,11,30
126,lookahead_L_3,True,19,30
127,dpll_control,True,8,30
127,greedy_L,True,25,30
127,greedy_LG,True,3,30
127,lookahead_LG_3,True,11,30
127,lookahead_L_3,True,29,30
128,dpll_control,False,39,0
128,greedy_L,False,0,0
128,greedy_LG,False,0,0
128,lookahead_LG_3,False,0,0
128,lookahead_L_3,False,0,0
128,random,False,0,0
129,dpll_control,True,8,30
129,greedy_L,True,22,30
129,greedy_LG,True,4,30
129,lookahead_LG_3,True,8,30
129,lookahead_L_3,True,25,30
130,dpll_control,True,23,30
130,greedy_L,False,29,30
130,greedy_LG,False,22,30
130,lookahead_LG_3,True,7,30
130,lookahead_L_3,False,27,30
131,dpll_control,False,17,0
131,greedy_L,False,0,0
131,greedy_LG,False,0,0
131,lookahead_LG_3,False,0,0
131,lookahead_L_3,False,0,0
131,random,False,0,0
132,dpll_control,True,7,30
132,greedy_L,False,30,30
132,greedy_LG,True,3,30
132,lookahead_LG_3,True,8,30
132,lookahead_L_3,False,28,30
133,dpll_control,True,10,30
133,greedy_L,True,22,30
133,greedy_LG,True,3,30
133,lookahead_LG_3,True,12,30
133,lookahead_L_3,True,29,30
134,dpll_control,True,22,30
134,greedy_L,False,30,30
134,greedy_LG,False,27,30
134,lookahead_LG_3,True,5,30
134,lookahead_L_3,False,28,30
135,dpll_control,True,11,30
135,greedy_L,False,28,30
135,greedy_LG,False,26,30
135,lookahead_LG_3,True,9,30
135,lookahead_L_3,False,27,30
136,dpll_control,True,10,30
136,greedy_L,False,30,30
136,greedy_LG,False,26,30
136,lookahead_LG_3,True,15,30
136,lookahead_L_3,True,30,30
137,dpll_control,True,11,30
137,greedy_L,True,27,30
137,greedy_LG,False,22,30
137,lookahead_LG_3,True,6,30
137,lookahead_L_3,True,30,30
138,dpll_control,True,26,30
138,greedy_L,True,24,30
138,greedy_LG,False,23,30
138,lookahead_LG_3,True,6,30
138,lookahead_L_3,True,30,30
139,dpll_control,True,9,30
139,greedy_L,False,30,30
139,greedy_LG,True,4,30
139,lookahead_LG_3,True,8,30
139,lookahead_L_3,False,27,30
140,dpll_control,True,12,30
140,greedy_L,False,29,30
140,greedy_LG,False,23,30
140,lookahead_LG_3,True,6,30
140,lookahead_L_3,False,27,30
141,dpll_control,True,9,30
141,greedy_L,False,30,30
141,greedy_LG,True,3,30
141,lookahead_LG_3,True,7,30
141,lookahead_L_3,False,29,30
