task,mode,success_rate,avg_decision,avg_forced,avg_score_calls,strategy_value
Vertex Cover,greedy_LG,0.6,4.566666666666666,5.433333333333334,100.8,0.6198586666666667
Vertex Cover,lookahead_L_3,0.9666666666666667,18.0,0.0,42299.333333333336,0.5076733333333333
Subset Sum,lookahead_LG_2,0.975,16.95,1.05,8328.775,0.88781225
Subset Sum,lookahead_L_2,0.95,18.0,0.0,9029.725,0.8237027499999999
Subset Sum,lookahead_LG_3,1.0,16.0,2.0,41634.925,0.58165075
Subset Sum,lookahead_L_3,1.0,18.0,0.0,41901.9,0.5449809999999999
Subset Sum,greedy_LG,0.525,10.85,7.15,236.525,0.53093475
Subset Sum,greedy_L,0.525,10.85,0.0,236.525,0.50093475
N-Queens,lookahead_LG_3,0.6666666666666666,7.111111111111111,3.888888888888889,1821.3333333333333,0.6642311111111111
N-Queens,lookahead_LG_2,0.5555555555555556,7.111111111111111,3.111111111111111,495.44444444444446,0.566378888888889
N-Queens,lookahead_L_3,0.2222222222222222,8.777777777777779,0.0,1833.3333333333333,0.18633333333333332
N-Queens,greedy_LG,0.1111111111111111,7.222222222222222,1.0,45.666666666666664,0.12621
N-Queens,greedy_L,0.0,8.88888888888889,0.0,47.333333333333336,-0.01825111111111111
N-Queens,lookahead_L_2,0.0,8.555555555555555,0.0,503.55555555555554,-0.02214666666666667
Set Cover,lookahead_LG_2,0.9333333333333333,4.9,0.9333333333333333,0.0,0.9535333333333333
Set Cover,lookahead_L_2,0.9,5.9,0.0,0.0,0.8882
Set Cover,lookahead_LG_3,0.8666666666666667,4.833333333333333,0.9333333333333333,0.0,0.887
Set Cover,greedy_LG,0.8333333333333334,4.6,0.9333333333333333,0.0,0.8541333333333334
Set Cover,lookahead_L_3,0.8333333333333334,6.0,0.0,0.0,0.8213333333333334
Set Cover,greedy_L,0.8,5.733333333333333,0.0,0.0,0.7885333333333334
Exact Cover,greedy_LG,1.0,1.0,5.033333333333333,42.0,1.02758
Exact Cover,lookahead_LG_2,1.0,1.5333333333333334,4.533333333333333,439.1333333333333,1.022542
Exact Cover,lookahead_LG_3,1.0,1.5333333333333334,4.533333333333333,1243.1666666666667,1.0145016666666666
Exact Cover,lookahead_L_3,0.9,6.033333333333333,0.0,4239.866666666667,0.8455346666666667
Exact Cover,lookahead_L_2,0.7333333333333333,6.0,0.0,1256.7666666666667,0.7087656666666666
Exact Cover,greedy_L,0.06666666666666667,5.466666666666667,0.0,76.16666666666667,0.05497166666666667
Latin Square,greedy_LG,1.0,1.5,22.5,74.0,1.02626
Latin Square,lookahead_LG_2,1.0,3.5,20.5,6461.2,0.958388
Latin Square,greedy_L,0.9,23.8,0.0,803.1,0.844369
Latin Square,lookahead_L_2,0.9,23.8,0.0,35268.5,0.499715
Hamiltonian Path,greedy_L,0.7333333333333333,22.866666666666667,0.0,52.8,0.6870719999999999
Hamiltonian Path,greedy_LG,0.6333333333333333,7.266666666666667,14.233333333333333,37.86666666666667,0.6484213333333333
Hamiltonian Path,lookahead_LG_2,0.03333333333333333,6.033333333333333,8.133333333333333,197.13333333333333,0.04929533333333333
Hamiltonian Path,lookahead_LG_3,0.03333333333333333,6.466666666666667,7.366666666666666,449.76666666666665,0.04590233333333333
Hamiltonian Path,lookahead_L_2,0.0,16.6,0.0,243.03333333333333,-0.03563033333333333
Hamiltonian Path,lookahead_L_3,0.0,15.733333333333333,0.0,560.4666666666667,-0.03707133333333333
