n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
10000,10000044,1,4,0.022727272727272728,3.909090909090909,2558.139534883721,,,,,500,250,16,1.05,2.0,44,1,1,3,False,False,,,1.0,1.0,4.919354838709678,4.919354838709678,4.919354838709678,2558.139534883721,,,1.6299701999523677
10000,10000044,2,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,1.05,2.0,62,1,1,4,False,False,,,1.0,1.0,4.919354838709678,4.919354838709678,4.919354838709678,2032.7868852459014,,,1.6299701999523677
10000,10000044,3,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,1.05,2.0,62,1,1,4,False,False,,,1.0,1.0,4.919354838709678,4.919354838709678,4.919354838709678,2032.7868852459014,,,1.6299701999523677
10000,10000044,4,5,0.016129032258064516,4.919354838709678,2032.7868852459014,4,0.0,4.0,2500.0,500,250,16,1.05,2.0,62,1,1,4,True,True,4,weak_growth,1.0,1.0,4.919354838709678,4.919354838709678,4.919354838709678,2032.7868852459014,2500.0,0.8131147540983605,1.6299701999523677
10000,10000044,5,5,0.016129032258064516,4.919354838709678,2032.7868852459014,4,0.0,4.0,2500.0,500,250,16,1.05,2.0,62,1,1,4,True,True,4,weak_growth,1.0,1.0,4.919354838709678,4.919354838709678,4.919354838709678,2032.7868852459014,2500.0,0.8131147540983605,1.6299701999523677
50000,50000042,1,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,1.05,2.0,37,1,1,3,False,False,,,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,,,10.02377189998515
50000,50000042,2,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,1.05,2.0,37,1,1,3,False,False,,,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,,,10.02377189998515
50000,50000042,3,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,1.05,2.0,37,1,1,3,False,False,,,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,,,10.02377189998515
50000,50000042,4,4,0.02702702702702703,3.891891891891892,12847.22222222222,33,0.0028089887640449437,32.907303370786515,1519.4195475885617,500,250,16,1.05,2.0,37,1,1,3,True,True,4,weak_growth,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,1519.4195475885617,8.455348782771534,10.02377189998515
50000,50000042,5,4,0.02702702702702703,3.891891891891892,12847.22222222222,44,0.008528784648187633,43.624733475479744,1146.13880742913,500,250,16,1.05,2.0,37,1,1,3,True,True,4,weak_growth,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,1146.13880742913,11.209132906894098,10.02377189998515
50000,50000043,1,4,0.05405405405405406,3.7837837837837838,13214.285714285714,,,,,500,250,16,1.05,2.0,37,2,2,2,False,False,,,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,13214.285714285714,,,9.631289499986451
50000,50000043,2,5,0.046511627906976744,4.767441860465117,10487.804878048779,,,,,500,250,16,1.05,2.0,43,2,2,3,False,False,,,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,,,9.631289499986451
50000,50000043,3,5,0.046511627906976744,4.767441860465117,10487.804878048779,,,,,500,250,16,1.05,2.0,43,2,2,3,False,False,,,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,,,9.631289499986451
50000,50000043,4,5,0.046511627906976744,4.767441860465117,10487.804878048779,37,0.012048192771084338,36.554216867469876,1367.8312458800265,500,250,16,1.05,2.0,43,2,2,3,True,True,4,weak_growth,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,1367.8312458800265,7.6674698795180705,9.631289499986451
50000,50000043,5,5,0.046511627906976744,4.767441860465117,10487.804878048779,48,0.015473887814313346,47.25725338491296,1058.0386378519975,500,250,16,1.05,2.0,43,2,2,3,True,True,4,weak_growth,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,1058.0386378519975,9.912497051469545,9.631289499986451
50000,50000044,1,4,0.06060606060606061,3.757575757575758,13306.451612903225,,,,,500,250,16,1.05,2.0,33,2,2,2,False,False,,,1.0,1.0,3.8947368421052633,3.8947368421052633,3.8947368421052633,13306.451612903225,,,9.56444400001783
50000,50000044,2,4,0.02631578947368421,3.8947368421052633,12837.837837837837,,,,,500,250,16,1.05,2.0,38,1,1,3,False,False,,,1.0,1.0,3.8947368421052633,3.8947368421052633,3.8947368421052633,12837.837837837837,,,9.56444400001783
50000,50000044,3,4,0.02631578947368421,3.8947368421052633,12837.837837837837,,,,,500,250,16,1.05,2.0,38,1,1,3,False,False,,,1.0,1.0,3.8947368421052633,3.8947368421052633,3.8947368421052633,12837.837837837837,,,9.56444400001783
50000,50000044,4,4,0.02631578947368421,3.8947368421052633,12837.837837837837,36,0.01015228426395939,35.63451776649746,1403.1339031339032,500,250,16,1.05,2.0,38,1,1,3,True,True,4,weak_growth,1.0,1.0,3.8947368421052633,3.8947368421052633,3.8947368421052633,12837.837837837837,1403.1339031339032,9.149403210316914,9.56444400001783
50000,50000044,5,4,0.02631578947368421,3.8947368421052633,12837.837837837837,45,0.010040160642570281,44.54819277108434,1122.3799864773496,500,250,16,1.05,2.0,38,1,1,3,True,True,4,weak_growth,1.0,1.0,3.8947368421052633,3.8947368421052633,3.8947368421052633,12837.837837837837,1122.3799864773496,11.43804949527841,9.56444400001783
100000,100000042,1,4,0.0625,3.75,26666.666666666668,,,,,500,250,16,1.05,2.0,32,2,2,2,False,False,,,1.0,1.0,4.0,4.0,4.0,26666.666666666668,,,20.38462739996612
100000,100000042,2,4,0.021739130434782608,3.9130434782608696,25555.555555555555,,,,,500,250,16,1.05,2.0,46,1,1,3,False,False,,,1.0,1.0,4.0,4.0,4.0,25555.555555555555,,,20.38462739996612
100000,100000042,3,4,0.0,4.0,25000.0,,,,,500,250,16,1.05,2.0,42,0,0,4,False,False,,,1.0,1.0,4.0,4.0,4.0,25000.0,,,20.38462739996612
