task,case,seed,mode,w_g,success,verified,decision_steps,forced_steps,score_calls
Set Cover,23,66,LG_depth2,1.0,False,False,6,0,6314
Set Cover,24,67,L_depth2,0.0,True,True,5,0,6994
Set Cover,24,67,weighted_G_0.1_depth2,0.1,True,True,5,0,7186
Set Cover,24,67,weighted_G_0.2_depth2,0.2,True,True,5,0,7186
Set Cover,24,67,weighted_G_0.4_depth2,0.4,True,True,5,0,7186
Set Cover,24,67,LG_depth2,1.0,True,True,5,0,7186
Set Cover,25,68,L_depth2,0.0,True,True,6,0,9794
Set Cover,25,68,weighted_G_0.1_depth2,0.1,True,True,6,0,9794
Set Cover,25,68,weighted_G_0.2_depth2,0.2,True,True,6,0,9794
Set Cover,25,68,weighted_G_0.4_depth2,0.4,True,True,6,0,9794
Set Cover,25,68,LG_depth2,1.0,True,True,6,0,8716
Set Cover,26,69,L_depth2,0.0,True,True,6,0,4492
Set Cover,26,69,weighted_G_0.1_depth2,0.1,True,True,6,0,4392
Set Cover,26,69,weighted_G_0.2_depth2,0.2,True,True,6,0,4392
Set Cover,26,69,weighted_G_0.4_depth2,0.4,True,True,6,0,4392
Set Cover,26,69,LG_depth2,1.0,True,True,6,0,4392
Set Cover,27,70,L_depth2,0.0,True,True,6,0,6420
Set Cover,27,70,weighted_G_0.1_depth2,0.1,True,True,6,0,6066
Set Cover,27,70,weighted_G_0.2_depth2,0.2,True,True,6,0,6066
Set Cover,27,70,weighted_G_0.4_depth2,0.4,True,True,6,0,6066
Set Cover,27,70,LG_depth2,1.0,True,True,6,0,5950
Set Cover,28,71,L_depth2,0.0,True,True,6,0,5754
Set Cover,28,71,weighted_G_0.1_depth2,0.1,True,True,6,0,5622
Set Cover,28,71,weighted_G_0.2_depth2,0.2,True,True,6,0,5622
Set Cover,28,71,weighted_G_0.4_depth2,0.4,True,True,6,0,5622
Set Cover,28,71,LG_depth2,1.0,True,True,6,0,5358
Set Cover,29,72,L_depth2,0.0,False,False,6,0,7088
Set Cover,29,72,weighted_G_0.1_depth2,0.1,False,False,6,0,7060
Set Cover,29,72,weighted_G_0.2_depth2,0.2,False,False,6,0,7060
Set Cover,29,72,weighted_G_0.4_depth2,0.4,False,False,6,0,7060
Set Cover,29,72,LG_depth2,1.0,True,True,6,0,3348
Vertex Cover,0,43,L_depth2,0.0,True,True,18,0,17648
Vertex Cover,0,43,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,0,43,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,0,43,weighted_G_0.4_depth2,0.4,True,True,18,0,17728
Vertex Cover,0,43,LG_depth2,1.0,True,True,18,0,13226
Vertex Cover,1,44,L_depth2,0.0,True,True,18,0,17648
Vertex Cover,1,44,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,1,44,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,1,44,weighted_G_0.4_depth2,0.4,True,True,18,0,17648
Vertex Cover,1,44,LG_depth2,1.0,True,True,18,0,14964
Vertex Cover,2,45,L_depth2,0.0,True,True,18,0,17384
