seed,mode,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,base_useful_IG,loss,reserve_size,reserve_total,reserve_score,overlap,recovered,useful_IG,D_pred,conflict
2000042,baseline,2000,8540,2,1777,9,13,4,3,140,0.02142857142857143,12.721428571428572,0.2785714285714286,0,0,0.0,0.0,0.0,12.721428571428572,157.21504772599664,False
2000042,baseline,2000,8540,3,1722,24,30,6,6,301,0.019933554817275746,29.40199335548173,0.5980066445182723,0,0,0.0,0.0,0.0,29.40199335548173,68.0225988700565,False
2000042,baseline,2000,8540,4,1689,32,44,12,10,441,0.022675736961451247,43.002267573696145,0.9977324263038548,0,0,0.0,0.0,0.0,43.002267573696145,46.509175279476906,False
2000042,baseline,2000,8540,5,1659,40,55,15,13,529,0.024574669187145556,53.64839319470699,1.3516068052930057,0,0,0.0,0.0,0.0,53.64839319470699,37.279774489076814,False
2000042,reserve,2000,8540,1,1842,4,7,3,3,57,0.05263157894736842,6.631578947368421,0.3684210526315789,7,0.3684210526315789,0.0,0.0,0.0,6.631578947368421,301.58730158730157,False
2000042,reserve,2000,8540,2,1777,9,13,4,3,140,0.02142857142857143,12.721428571428572,0.2785714285714286,15,0.6469924812030075,0.0,0.0,0.0,12.721428571428572,157.21504772599664,False
2000042,reserve,2000,8540,3,1721,24,30,6,6,301,0.019933554817275746,29.40199335548173,0.5980066445182723,32,1.2449991257212798,0.0,0.0,0.0,29.40199335548173,68.0225988700565,False
2000042,reserve,2000,8540,4,1689,32,45,13,11,418,0.02631578947368421,43.81578947368421,1.1842105263157894,58,2.4292096520370694,0.03482142857142857,0.03125,6.801060267857143e-05,43.815857484286894,45.64557479486128,False
2000042,reserve,2000,8540,5,1660,40,57,17,14,517,0.027079303675048357,55.456479690522244,1.5435203094777563,65,3.9727299615148257,0.7365758145363408,0.4,0.009207197681704261,55.46568688820395,36.058329251942354,False
2000043,baseline,2000,8540,1,1825,3,5,2,2,39,0.05128205128205128,4.743589743589744,0.2564102564102564,0,0,0.0,0.0,0.0,4.743589743589744,421.6216216216216,False
2000043,baseline,2000,8540,2,1767,16,19,3,3,230,0.013043478260869565,18.752173913043478,0.24782608695652172,0,0,0.0,0.0,0.0,18.752173913043478,106.65430095061443,False
2000043,baseline,2000,8540,3,1733,24,32,8,8,343,0.023323615160349854,31.253644314868804,0.7463556851311953,0,0,0.0,0.0,0.0,31.253644314868804,63.992537313432834,False
2000043,baseline,2000,8540,4,1699,32,45,13,12,433,0.02771362586605081,43.75288683602771,1.2471131639722863,0,0,0.0,0.0,0.0,43.75288683602771,45.71126946423858,False
2000043,baseline,2000,8540,5,1672,40,52,12,12,513,0.023391812865497075,50.78362573099415,1.2163742690058479,0,0,0.0,0.0,0.0,50.78362573099415,39.382772915707044,False
2000043,reserve,2000,8540,1,1825,3,5,2,2,39,0.05128205128205128,4.743589743589744,0.2564102564102564,5,0.2564102564102564,0.0,0.0,0.0,4.743589743589744,421.6216216216216,False
2000043,reserve,2000,8540,2,1767,16,19,3,3,230,0.013043478260869565,18.752173913043478,0.24782608695652172,13,0.5042363433667781,0.0,0.0,0.0,18.752173913043478,106.65430095061443,False
2000043,reserve,2000,8540,3,1733,24,32,8,8,343,0.023323615160349854,31.253644314868804,0.7463556851311953,26,1.2505920284979735,0.15489130434782608,0.20833333333333334,0.004033627717391304,31.257677942586195,63.98427943603427,False
2000043,reserve,2000,8540,4,1697,32,45,13,12,433,0.02771362586605081,43.75288683602771,1.2471131639722863,35,2.4977051924702596,0.6169210141909469,0.40625,0.015664010125942013,43.76855084615366,45.69491018859625,False
2000043,reserve,2000,8540,5,1673,3,4,1,1,42,0.023809523809523808,3.9047619047619047,0.09523809523809523,38,2.592943287708355,0.0,0.0,0.0,3.9047619047619047,512.1951219512196,False
2000044,baseline,2000,8540,1,1842,2,4,2,2,27,0.07407407407407407,3.7037037037037037,0.2962962962962963,0,0,0.0,0.0,0.0,3.7037037037037037,540.0,False
2000044,baseline,2000,8540,2,1776,16,19,3,3,226,0.01327433628318584,18.74778761061947,0.252212389380531,0,0,0.0,0.0,0.0,18.74778761061947,106.67925418928488,False
2000044,baseline,2000,8540,3,1734,24,34,10,10,326,0.03067484662576687,32.95705521472392,1.0429447852760736,0,0,0.0,0.0,0.0,32.95705521472392,60.685033507073726,False
2000044,baseline,2000,8540,4,1703,32,38,6,6,423,0.014184397163120567,37.46099290780142,0.5390070921985816,0,0,0.0,0.0,0.0,37.46099290780142,53.38886785308595,False
2000044,baseline,2000,8540,5,1670,40,50,10,9,545,0.01651376146788991,49.174311926605505,0.8256880733944955,0,0,0.0,0.0,0.0,49.174311926605505,40.67164179104478,False
2000044,reserve,2000,8540,1,1842,2,4,2,2,27,0.07407407407407407,3.7037037037037037,0.2962962962962963,4,0.2962962962962963,0.0,0.0,0.0,3.7037037037037037,540.0,False
2000044,reserve,2000,8540,2,1776,16,19,3,3,226,0.01327433628318584,18.74778761061947,0.252212389380531,13,0.5485086856768272,0.0,0.0,0.0,18.74778761061947,106.67925418928488,False
2000044,reserve,2000,8540,3,1734,24,32,8,7,304,0.023026315789473683,31.263157894736842,0.7368421052631579,33,1.285350790939985,0.07407407407407407,0.041666666666666664,0.00038580246913580245,31.26354369720598,63.97227452429649,False
2000044,reserve,2000,8540,4,1701,32,38,6,6,423,0.014184397163120567,37.46099290780142,0.5390070921985816,49,1.8243578831385667,0.0,0.0,0.0,37.46099290780142,53.38886785308595,False
2000044,reserve,2000,8540,5,1671,40,55,15,14,505,0.027722772277227723,53.475247524752476,1.5247524752475248,64,3.3491103583860915,0.5530214424951266,0.35,0.006048672027290447,53.481296196779766,37.39625144164746,False
